id,url,created_at,text,lang,author_username,author_name,author_followers,likes,retweets,replies,quotes,views,bookmarks,is_reply,is_retweet,is_quote,source,media_count,media_urls
2032148800970907917,https://x.com/LoraFinance/status/2032148800970907917,Thu Mar 12 17:36:44 +0000 2026,@coinX90 I apologize but that's the best we can do for a bootstrapped team. Been working day and night.,en,LoraFinance,Lora Finance,35462,2,0,1,0,124,0,True,False,False,Twitter for iPhone,0,
2032148324833530099,https://x.com/LoraFinance/status/2032148324833530099,Thu Mar 12 17:34:50 +0000 2026,@coinX90 Soonest 1.5 to 2 months.,en,LoraFinance,Lora Finance,35462,4,0,1,0,1206,0,True,False,False,Twitter for iPhone,0,
2032146967552508311,https://x.com/LoraFinance/status/2032146967552508311,Thu Mar 12 17:29:27 +0000 2026,"The first day of our Season 1: Testnet witnessed 1,000 participants, and counting.  Over 142,000 points have been distributed.   Next stop: Competing with Trading AI Agents!   Enter Season 1 -&gt; https://t.co/HzcfGctdFQ https://t.co/L4QZlEjxPX",en,LoraFinance,Lora Finance,35462,696,586,104,5,34576,174,False,False,False,Twitter for iPhone,1,https://pbs.twimg.com/media/HDOeJZibQAE_CVw.jpg
2031791834284855791,https://x.com/LoraFinance/status/2031791834284855791,Wed Mar 11 17:58:16 +0000 2026,@19bernie https://t.co/CtNY9LZgSg  you can use this,en,LoraFinance,Lora Finance,35462,5,1,2,0,1456,6,True,False,False,Twitter for iPhone,1,https://pbs.twimg.com/card_img/2060170632600395782/phJUjQWr?format=png&name=orig
2031786381953876231,https://x.com/LoraFinance/status/2031786381953876231,Wed Mar 11 17:36:36 +0000 2026,@gawdwinn @1569azizah you can get some gas on mega testnet from https://t.co/HHM7vxSBI7 before using the faucet,en,LoraFinance,Lora Finance,35462,2,0,1,0,143,0,True,False,False,Twitter for iPhone,1,https://pbs.twimg.com/card_img/2060170632600395782/phJUjQWr?format=png&name=orig
2031767165871984890,https://x.com/LoraFinance/status/2031767165871984890,Wed Mar 11 16:20:15 +0000 2026,Lora Finance Testnet Is Officially LIVE  Waitlist users are in. The rest are queued.  Rent upside. No liquidation. Inevitable.  Enter Season 1 -&gt; https://t.co/HzcfGctdFQ https://t.co/dJXayPmHGp,en,LoraFinance,Lora Finance,35462,811,523,177,19,72837,204,False,False,False,Twitter for iPhone,2,https://video.twimg.com/amplify_video/2031767019302060033/vid/avc1/1920x1080/tK7ZrCr8O8A6uwiW.mp4?tag=21 https://pbs.twimg.com/amplify_video_thumb/2031767019302060033/img/hlofnpT8Ep6miR_Z.jpg
2029252651805036624,https://x.com/LoraFinance/status/2029252651805036624,Wed Mar 04 17:48:28 +0000 2026,"@bread_ @ryanberckmans Appreciate the mentioning. But I think it's not MegaETH team responsibility to resolve the utility of the chain. Bread is doing god work.   MegaETH has already done the most difficult part, making ""fast"" to become ""fastest"". And that's more than enough. Sword was given, and the blacksmith don't go to war.",en,LoraFinance,Lora Finance,35462,3,0,0,0,105,0,True,False,False,Twitter for iPhone,0,
2028840508643275195,https://x.com/LoraFinance/status/2028840508643275195,Tue Mar 03 14:30:45 +0000 2026,"October 10  deleveraged all positions whether it's a W or an L, through liquidation. This is wrong, Users should not be punished for being right and wrong at the same time.   This has always been the motivation and the compass for Lora Finance team since day 1. No liquidation.",en,LoraFinance,Lora Finance,35462,29,8,4,0,3582,2,False,False,True,Twitter for iPhone,2,https://video.twimg.com/amplify_video/2028837997794541568/vid/avc1/1920x1080/Kcy5nNC56drOLtH_.mp4?tag=21 https://pbs.twimg.com/amplify_video_thumb/2028837997794541568/img/NhYnBLesPNNm2zXJ.jpg
2027796216885743786,https://x.com/LoraFinance/status/2027796216885743786,Sat Feb 28 17:21:07 +0000 2026,@loudestvoidd We are keeping the enthusiasts close to us.,en,LoraFinance,Lora Finance,35462,2,0,0,0,183,0,True,False,False,Twitter for iPhone,0,
2024883508473422049,https://x.com/LoraFinance/status/2024883508473422049,Fri Feb 20 16:27:03 +0000 2026,@redstone_defi @megaeth Building Oracle for ms level speed of MegaETH is a work of art. Credit to @redstone_defi. What a Moracle!,en,LoraFinance,Lora Finance,35462,4,0,0,0,229,0,True,False,False,Twitter for iPhone,0,
